move,text_entry
bug-bite,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.  If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.  If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
wonder-room,"For five turns (including this one), every Pokémon's Defense and Special Defense are swapped."
overheat,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
breaking-swipe,Inflicts regular damage.  Lowers the target's Attack by one stage.
me-first,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.  If the target moves before the user, this move will fail.  This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
mega-drain,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
spirit-break,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.
dizzy-punch,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
cosmic-power,Raises the user's Defense and Special Defense by one stage.
beat-up,"Inflicts typeless regular damage.  Every Pokémon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.  This effect breaks through wonder guard."
dragon-breath,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
extrasensory,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
floral-healing,"Heals the target for ½ its max HP.  If grassy terrain is in effect, heals for ⅔ instead."
flame-burst,"Inflicts regular damage.  If this move successfully hits the target, any Pokémon adjacent to the target are damaged for 1/16 their max HP."
charge-beam,Inflicts regular damage.  Has a $effect_chance% chance to raise the user's Special Attack by one stage.
cross-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
copycat,"Uses the last move that was used successfully by any Pokémon, including the user.  This move cannot copy itself, nor roar nor whirlwind.  This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
revelation-dance,"Inflicts regular damage.  This move's type matches the user's first type, if any; otherwise, it's typeless."
hurricane,"Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.  This move can hit Pokémon under the effect of bounce, fly, or sky drop.  During rain dance, this move has 100% accuracy.  During sunny day, this move has 50% accuracy."
secret-power,Inflicts regular damage.  Has a $effect_chance% chance to inflict an effect chosen according to the terrain.  Terrain        | Effect -------------- | ------------------------------------------------------------- Building       | Paralyzes target Cave           | Makes target flinch Deep water     | Lowers target's Attack by one stage Desert         | Lowers target's accuracy by one stage Grass          | Puts target to sleep Mountain       | Makes target flinch Road           | Lowers target's accuracy by one stage Shallow water  | Lowers target's Attack by one stage Snow           | Freezes target Tall grass     | Puts target to sleep  In Pokémon Battle Revolution:  Terrain        | Effect -------------- | ------------------------------------------------------------- Courtyard      | Paralyzes target Crystal        | Makes target flinch Gateway        | Lowers target's Attack by one stage Magma          | Makes target flinch Main Street    | Paralyzes target Neon           | Paralyzes target Stargazer      | Makes target flinch Sunny Park     | Puts target to sleep Sunset         | Lowers target's accuracy by one stage Waterfall      | Puts target to sleep 
worry-seed,"Changes the target's ability to insomnia.  If the target's ability is truant or multitype, this move will fail."
zap-cannon,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
grudge,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect."
earthquake,"Inflicts regular damage.  If the target is in the first turn of dig, this move will hit with double power."
thunder,"Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.  During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.  During sunny day, this move has 50% accuracy."
fusion-bolt,"Inflicts regular damage.  If a friendly Pokémon used fusion flare earlier this turn, this move has double power."
skill-swap,"User and target switch abilities.  Ignores accuracy and evasion modifiers.  If either Pokémon has multitype or wonder guard, this move will fail."
night-slash,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
stuff-cheeks,"Inflicts regular damage, then (if successful) removes major status effects from every Pokémon in the user's party."
bubble-beam,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
glare,Paralyzes the target.
acupressure,"Raises one of the target's stats by two stages.  The raised stat is chosen at random from any stats that can be raised by two stages.  If no stat is eligible, this move will fail.  If the target has a substitute, this move will have no effect, even if the user is the target.  This move cannot be copied by mirror move."
spirit-shackle,Inflicts regular damage.  Traps the target.
psywave,"Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%."
absorb,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
topsy-turvy,Inverts the target's stat modifiers.
fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
moongeist-beam,"Inflicts regular damage.  Other Pokémon's abilities cannot activate in response to this move.  In particular, it hits through disguise"
mirror-move,"Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.  Moves that failed, missed, had no effect, or were blocked are still copied.  Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.  This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore."
jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect."
mist,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.  guard swap, heart swap, and power swap may still be used.  defog used by an opponent will end this effect."
snore,Only usable if the user is sleeping.  Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
discharge,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
poison-jab,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
gunk-shot,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
dragon-rush,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
origin-pulse,Inflicts regular damage.
amnesia,Raises the user's Special Defense by two stages.
slash,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
shock-wave,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
hammer-arm,"Inflicts regular damage, then lowers the user's Speed by one stage."
razor-shell,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.
sparkling-aria,"Inflicts regular damage.  If the target has a burn and takes damage from this move, its burn is healed."
overdrive,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration."
stored-power,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user's stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move's power.  For a Pokémon with all five stats modified to +6, this move's power is 31×."
ice-fang,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target and a separate $effect_chance% chance to make the target flinch.
torment,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.  If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn."
growth,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages."
confusion,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
psycho-boost,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
meteor-mash,Inflicts regular damage. Has a $effect_chance% chance to raise the user's Attack one stage.
moonlight,"Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
facade,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power."
toxic-thread,Poisons the target and lowers its Speed by one stage.
defog,"Lowers the target's evasion by one stage.  Clears away fog.  Removes the effects of mist, light screen, reflect, safeguard, spikes, stealth rock, and toxic spikes from the target's side of the field.  If the target is protected by mist, it will prevent the evasion change, then be removed by this move."
parting-shot,Lowers all targets' Attack and Special Attack by one stage.  Makes the user switch out.
harden,Raises the user's Defense by one stage.
supersonic,Confuses the target.
fairy-wind,Inflicts regular damage.
lunar-dance,"User faints.  Its replacement's HP and PP are fully restored, and any major status effect is removed."
trick-room,"For five turns (including this one), slower Pokémon will act before faster Pokémon.  Move priority is not affected.  Using this move when its effect is already active will end the effect.  Pokémon holding full incense, lagging tail, or quick claw and Pokémon with stall ignore this effect."
dragon-pulse,Inflicts regular damage.
synchronoise,Inflicts regular damage.  Only Pokémon that share a type with the user will take damage from this move.
magic-powder,The user scatters a cloud of magic powder that changes the target to Psychic type.
pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
tailwind,"For the next three turns, all Pokémon on the user's side of the field have their original Speed doubled.  This effect remains if the user leaves the field."
horn-drill,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
odor-sleuth,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.
aurora-veil,"Places the Aurora Veil effect on the user's side of the field for the next 5 turns.  If the weather is not hail, or the weather is disabled by the effects of cloud nine or air lock, this move will fail.  Any regular damage dealt to an affected Pokémon is reduced by ½.  (If there are multiple Pokémon on the affected field, the reduction is ⅓.)"
mega-kick,Inflicts regular damage.
draining-kiss,Deals regular damage.  Drains 75% of the damage inflicted to heal the user.
fire-spin,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
head-charge,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
photon-geyser,Inflicts regular damage.
swagger,"Raises the target's Attack by two stages, then confuses it.  If the target's Attack cannot be raised by two stages, the confusion is not applied."
decorate,The user sharply raises the target’s Attack and Sp. Atk stats by decorating the target.
brave-bird,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
metronome,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.  This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk."
gear-grind,Inflicts regular damage.  Hits twice in one turn.
fairy-lock,Prevents all Pokémon from fleeing or switching out during the next turn.
swift,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
rock-climb,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
fell-stinger,Inflicts regular damage.  Raises the user's Attack by two stages if it KOs the target.
stockpile,"Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.  If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not."
frustration,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
ice-beam,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.
metal-claw,Inflicts regular damage. Has a $effect_chance% chance to raise the user's Attack one stage.
flatter,"Raises the target's Special Attack by one stage, then confuses it."
rage-powder,"Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.  This effect takes priority over lightning rod and storm drain.  If the user's ally switches out, opposing Pokémon may still hit it with pursuit.  This move cannot be selected by assist or metronome."
sharpen,Raises the user's Attack by one stage.
struggle-bug,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.
milk-drink,Heals the user for half its max HP.
hydro-cannon,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
aura-wheel,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.
vacuum-wave,Inflicts regular damage.
sacred-sword,"Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
string-shot,Lowers the target's Speed by two stages.
rage,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage."
mystical-fire,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.
high-jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect."
recycle,"User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.  Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered."
fury-swipes,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
self-destruct,"User faints, even if the attack fails or misses.  Inflicts regular damage."
corrosive-gas,Inflicts regular damage.
brine,"Inflicts regular damage.  If the target has less than half its max HP remaining, this move has double power."
yawn,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.  If the target is protected by safeguard when this move is used, this move will fail.  insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use."
crunch,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.
powder,"Explodes if the target uses a fire move this turn, damaging it for 1/4 its max HP and preventing the move."
steel-wing,Inflicts regular damage. Has a $effect_chance% chance to raise the user's Defense one stage.
assist,"Uses a move from another Pokémon in the user's party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.  This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.  This move cannot be copied by mirror move, nor selected by metronome or sleep talk."
rolling-kick,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
power-whip,Inflicts regular damage.
shift-gear,Raises the user's Attack by one stage and its Speed by two stages.
hidden-power,"Inflicts regular damage.  Power and type are determined by the user's IVs.  Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)  Power is always between 30 and 70, inclusive.  Average power is 49.5.  Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.  Value | Type ----: | --------     0 | fighting     1 | flying     2 | poison     3 | ground     4 | rock     5 | bug     6 | ghost     7 | steel     8 | fire     9 | water    10 | grass    11 | electric    12 | psychic    13 | ice    14 | dragon    15 | dark  This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time."
flip-turn,Inflicts regular damage.
drill-run,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
revenge,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.  pain split does not count as damaging the user."
sheer-cold,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
triple-kick,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.  skill link does not apply."
spacial-rend,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
clangorous-soul,The user raises all its stats by using some of its HP.
air-slash,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
inferno,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
pollen-puff,"If the target is an opponent, inflicts regular damage.  If the target is an ally, heals the target for 50% of its max HP."
bullet-seed,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
lava-plume,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
metal-sound,Lowers the target's Special Defense by two stages.
screech,Lowers the target's Defense by two stages.
sunsteel-strike,"Inflicts regular damage.  Other Pokémon's abilities cannot activate in response to this move.  In particular, it hits through disguise"
fire-lash,Inflicts regular damage.  Lowers the target's Defense by one stage.
hone-claws,Raises the user's Attack and accuracy by one stage.
rock-polish,Raises the user's Speed by two stages.
infestation,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
endeavor,"Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage."
bullet-punch,Inflicts regular damage.
geomancy,"Takes one turn to charge, then raises the user's Special Attack, Special Defense, and Speed by two stages."
snatch,"The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.  If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move's effect.  If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it's affected by pressure, it will only lose 1 PP.  This move cannot be copied by mirror move, nor selected by assist or metronome."
heal-pulse,Heals the target for half its max HP.
metal-burst,"Targets the last opposing Pokémon to hit the user with a damaging move this turn.  Inflicts 1.5× the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored."
uproar,"Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.  Pokémon cannot use rest during this effect.  This move cannot be selected by sleep talk."
venom-drench,"Lowers the target's Attack, Special Attack, and Speed by one stage if it is poisoned."
scorching-sands,Inflicts regular damage.
sing,Puts the target to sleep.
natures-madness,Inflicts typeless damage equal to half the target's remaining HP.
poltergeist,Inflicts regular damage.
bonemerang,Inflicts regular damage.  Hits twice in one turn.
spite,"Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail."
dragon-claw,Inflicts regular damage.
gyro-ball,"Inflicts regular damage.  Power increases with the target's current Speed compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150."
conversion-2,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail."
drain-punch,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
imprison,"Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user's moves when this move is used, this move will fail."
thunder-fang,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target and a separate $effect_chance% chance to make the target flinch.
disarming-voice,Inflicts regular damage.  Ignores accuracy and evasion.
acid,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
purify,"Cures the target of its major status ailment and heals the user for 50% of its max HP.  If the target has no major status ailment, this move will fail."
luster-purge,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
mud-bomb,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
chatter,"Inflicts regular damage.  Has either a 1%, 11%, or 31% chance to confuse the target, based on the volume of the recording made for this move; louder recordings increase the chance of confusion.  If the user is not a chatot, this move will not cause confusion.  This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist, metronome, or sleep talk."
bestow,"Transfers the user's held item to the target.  If the user has no held item, or the target already has a held item, this move will fail."
dream-eater,Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.
icy-wind,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
peck,Inflicts regular damage.
rock-throw,Inflicts regular damage.
sky-uppercut,"Inflicts regular damage.  This move can hit Pokémon under the effect of bounce, fly, or sky drop."
cotton-guard,Raises the user's Defense by three stages.
boomburst,Inflicts regular damage.
lucky-chant,"For five turns, opposing Pokémon cannot score critical hits."
first-impression,Inflicts regular damage. Can only be used on the user's first turn after entering the field.
mirror-shot,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
quash,"Forces the target to act last this turn, regardless of Speed or move priority.  If the target has already acted this turn, this move will fail."
strength-sap,"Lowers the target's Attack by one stage.  Heals the user by the target's current Attack, including modifiers, but not including this move's Attack-lowering effect.  If the target's Attack is already at -6, this move will fail.  In any other situation that would prevent a stat modification, the healing will still succeed."
focus-blast,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
smog,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
freeze-dry,"Inflicts regular damage.  This move is super-effective against the water type.  The target's other type will affect damage as usual.  If this move's type is changed, it remains super-effective against Water regardless of its type."
thunder-shock,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
autotomize,Raises the user's Speed by two stages.  Halves the user's weight; this effect does not stack.
shadow-ball,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk."
needle-arm,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
sucker-punch,"Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.  This move is not affected by iron fist."
switcheroo,"User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.  If either Pokémon has multitype or sticky hold, this move will fail.  If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.  Neither the user nor the target can recover its item with recycle.  This move cannot be selected by assist or metronome."
magnitude,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:  Magnitude | Power | Chance --------: | ----: | -----:         4 |    10 |     5%         5 |    30 |    10%         6 |    50 |    20%         7 |    70 |    30%         8 |    90 |    20%         9 |   110 |    10%        10 |   150 |     5%  This move has double power against Pokémon currently underground due to dig."
x-scissor,Inflicts regular damage.
super-fang,Inflicts typeless damage equal to half the target's remaining HP.
reversal,Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.  64 * current HP / max HP | Power -----------------------: | ----:  0– 1                    |  200  2– 5                    |  150  6–12                    |  100 13–21                    |   80 22–42                    |   40 43–64                    |   20 
lash-out,Inflicts regular damage.
terrain-pulse,Inflicts regular damage.
chip-away,"Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
rock-tomb,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
psychic-terrain,"Changes the terrain to Psychic Terrain for 5 turns.  Overrides electric terrain, grassy terrain, and misty terrain.  All Pokémon on the ground are immune to moves with priority greater than 0.  (Moves that target the field rather than individual Pokémon, such as spikes, are not affected.)  Additionally, when a Pokémon on the ground uses a psychic-type move, that move's power is increased to 1.5×.  If a Pokémon is holding a Terrain Extender when creating Psychic Terrain (by any means), the effect lasts for 8 turns instead of 5."
razor-wind,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.  This move cannot be selected by sleep talk.
liquidation,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.
rock-wrecker,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
cut,Inflicts regular damage.
aromatherapy,Removes major status effects and confusion from every Pokémon in the user's party.
ice-ball,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.  If the user has used defense curl since entering the field, this move has double power."
incinerate,"Inflicts regular damage.  If the target is holding a berry, it's destroyed and cannot be used in response to this move."
shadow-sneak,Inflicts regular damage.
life-dew,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon in the battle.
hyper-fang,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
rollout,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.  If the user has used defense curl since entering the field, this move has double power."
