pokemon,abilities,types,egg_groups,moves,pokedex_entry
swoobat,"['unaware', 'klutz', 'simple']","['psychic', 'flying']","['flying', 'ground']","['gust', 'fly', 'hyper-beam', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'double-team', 'light-screen', 'reflect', 'swift', 'amnesia', 'dream-eater', 'sky-attack', 'flash', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'protect', 'giga-drain', 'endure', 'charm', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'hidden-power', 'rain-dance', 'psych-up', 'shadow-ball', 'future-sight', 'uproar', 'heat-wave', 'torment', 'facade', 'taunt', 'helping-hand', 'trick', 'magic-coat', 'knock-off', 'endeavor', 'skill-swap', 'imprison', 'secret-power', 'fake-tears', 'air-cutter', 'odor-sleuth', 'signal-beam', 'aerial-ace', 'calm-mind', 'shock-wave', 'roost', 'gyro-ball', 'pluck', 'tailwind', 'u-turn', 'assurance', 'embargo', 'air-slash', 'energy-ball', 'giga-impact', 'nasty-plot', 'psycho-cut', 'zen-headbutt', 'defog', 'trick-room', 'charge-beam', 'psyshock', 'telekinesis', 'simple-beam', 'after-you', 'round', 'stored-power', 'ally-switch', 'acrobatics', 'heart-stamp', 'confide', 'venom-drench', 'laser-focus', 'speed-swap', 'psychic-fangs', 'expanding-force', 'dual-wingbeat']",コンクリートも　こわせるほどの つよい　ちょうおんぱを　だすとき しっぽが　はげしく　ふるえる。
drilbur,"['sand-rush', 'sand-force', 'mold-breaker']",['ground'],['ground'],"['scratch', 'swords-dance', 'cut', 'submission', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'double-team', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'protect', 'sludge-bomb', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'rapid-spin', 'metal-claw', 'hidden-power', 'rock-smash', 'facade', 'brick-break', 'secret-power', 'mud-sport', 'crush-claw', 'rock-tomb', 'metal-sound', 'sand-tomb', 'aerial-ace', 'iron-defense', 'mud-shot', 'fling', 'poison-jab', 'x-scissor', 'earth-power', 'shadow-claw', 'rock-climb', 'stealth-rock', 'hone-claws', 'round', 'bulldoze', 'drill-run', 'confide', 'high-horsepower', 'scorching-sands']",Il peut creuser à plus de 50 km/h et faire la course avec une voiture roulant sur le terrain qu’il creuse.
excadrill,"['sand-rush', 'sand-force', 'mold-breaker']","['ground', 'steel']",['ground'],"['scratch', 'swords-dance', 'cut', 'horn-drill', 'hyper-beam', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'double-team', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'protect', 'sludge-bomb', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'rapid-spin', 'metal-claw', 'hidden-power', 'rock-smash', 'facade', 'brick-break', 'secret-power', 'mud-sport', 'crush-claw', 'rock-tomb', 'sand-tomb', 'aerial-ace', 'iron-defense', 'mud-shot', 'rock-blast', 'fling', 'magnet-rise', 'poison-jab', 'x-scissor', 'focus-blast', 'earth-power', 'giga-impact', 'shadow-claw', 'iron-head', 'stealth-rock', 'hone-claws', 'round', 'bulldoze', 'drill-run', 'rototiller', 'confide', 'high-horsepower', 'smart-strike', 'brutal-swing', 'stomping-tantrum', 'steel-beam', 'scorching-sands']",Ses vrilles en acier peuvent transpercer des poutres en fer. Il est très employé dans la construction de tunnels.
audino,"['healer', 'regenerator', 'klutz']",['normal'],['fairy'],"['pound', 'double-slap', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'growl', 'flamethrower', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'psychic', 'double-team', 'light-screen', 'reflect', 'fire-blast', 'amnesia', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'protect', 'sweet-kiss', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'pain-split', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'uproar', 'facade', 'focus-punch', 'helping-hand', 'role-play', 'wish', 'magic-coat', 'yawn', 'knock-off', 'skill-swap', 'refresh', 'snatch', 'secret-power', 'hyper-voice', 'signal-beam', 'covet', 'calm-mind', 'gravity', 'healing-wish', 'fling', 'lucky-chant', 'last-resort', 'drain-punch', 'giga-impact', 'zen-headbutt', 'trick-room', 'grass-knot', 'charge-beam', 'psyshock', 'telekinesis', 'simple-beam', 'entrainment', 'after-you', 'round', 'echoed-voice', 'ally-switch', 'heal-pulse', 'incinerate', 'retaliate', 'bestow', 'work-up', 'wild-charge', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'play-nice', 'confide', 'dazzling-gleam', 'baby-doll-eyes', 'power-up-punch', 'laser-focus', 'throat-chop', 'stomping-tantrum', 'life-dew']",Il ausculte les gens avec ses antennes auriculaires pour juger de leurs émotions ou de leur santé.
timburr,"['guts', 'sheer-force', 'iron-fist']",['fighting'],['humanshape'],"['pound', 'comet-punch', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'slam', 'mega-kick', 'leer', 'low-kick', 'counter', 'strength', 'rock-throw', 'dig', 'toxic', 'double-team', 'focus-energy', 'bide', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'protect', 'mach-punch', 'scary-face', 'foresight', 'detect', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'smelling-salts', 'taunt', 'helping-hand', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'rock-tomb', 'block', 'bulk-up', 'wake-up-slap', 'hammer-arm', 'payback', 'fling', 'force-palm', 'poison-jab', 'drain-punch', 'focus-blast', 'defog', 'stone-edge', 'grass-knot', 'wide-guard', 'smack-down', 'low-sweep', 'round', 'chip-away', 'retaliate', 'work-up', 'confide', 'power-up-punch', 'brutal-swing', 'coaching']","Il combat avec une poutre. Quand il en arrive à transporter de lourds madriers sans problème, l’évolution est proche."
gurdurr,"['guts', 'sheer-force', 'iron-fist']",['fighting'],['humanshape'],"['pound', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'slam', 'mega-kick', 'leer', 'low-kick', 'strength', 'rock-throw', 'dig', 'toxic', 'double-team', 'focus-energy', 'bide', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'rock-tomb', 'block', 'bulk-up', 'wake-up-slap', 'hammer-arm', 'close-combat', 'payback', 'fling', 'poison-jab', 'drain-punch', 'focus-blast', 'stone-edge', 'grass-knot', 'smack-down', 'low-sweep', 'round', 'chip-away', 'retaliate', 'work-up', 'confide', 'power-up-punch', 'high-horsepower', 'brutal-swing', 'coaching']",Même une armée de catcheurs se jetant sur son corps hyper musclé ne le ferait pas ciller.
conkeldurr,"['guts', 'sheer-force', 'iron-fist']",['fighting'],['humanshape'],"['pound', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'slam', 'mega-kick', 'leer', 'hyper-beam', 'low-kick', 'strength', 'rock-throw', 'earthquake', 'dig', 'toxic', 'double-team', 'focus-energy', 'bide', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'rock-tomb', 'block', 'bulk-up', 'rock-blast', 'wake-up-slap', 'hammer-arm', 'close-combat', 'payback', 'fling', 'poison-jab', 'drain-punch', 'focus-blast', 'giga-impact', 'stone-edge', 'grass-knot', 'smack-down', 'low-sweep', 'round', 'chip-away', 'retaliate', 'bulldoze', 'work-up', 'confide', 'power-up-punch', 'high-horsepower', 'brutal-swing', 'stomping-tantrum', 'coaching']",On pense que la recette du ciment a été enseignée aux humains par un Bétochef il y a 2 000 ans.
tympole,"['swift-swim', 'hydration', 'water-absorb']",['water'],['water1'],"['growl', 'supersonic', 'acid', 'mist', 'hydro-pump', 'surf', 'bubble-beam', 'toxic', 'screech', 'double-team', 'bubble', 'rest', 'substitute', 'snore', 'flail', 'protect', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rain-dance', 'uproar', 'hail', 'facade', 'endeavor', 'refresh', 'secret-power', 'mud-sport', 'hyper-voice', 'weather-ball', 'muddy-water', 'bounce', 'mud-shot', 'water-pulse', 'aqua-ring', 'earth-power', 'mud-bomb', 'sludge-wave', 'after-you', 'round', 'echoed-voice', 'scald', 'confide', 'venom-drench', 'infestation']",Il prévient ses camarades du danger en faisant vibrer ses joues pour générer un signal d’alarme très aigu.
palpitoad,"['swift-swim', 'hydration', 'water-absorb']","['water', 'ground']",['water1'],"['growl', 'supersonic', 'acid', 'hydro-pump', 'surf', 'bubble-beam', 'toxic', 'screech', 'double-team', 'bubble', 'rest', 'substitute', 'snore', 'flail', 'protect', 'sludge-bomb', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rain-dance', 'rock-smash', 'uproar', 'hail', 'facade', 'focus-punch', 'endeavor', 'secret-power', 'hyper-voice', 'weather-ball', 'muddy-water', 'bounce', 'mud-shot', 'water-pulse', 'gastro-acid', 'aqua-ring', 'earth-power', 'power-whip', 'stealth-rock', 'sludge-wave', 'after-you', 'round', 'echoed-voice', 'scald', 'bulldoze', 'confide', 'venom-drench', 'infestation']","Quand il fait vibrer la bosse sur sa tête, il provoque des ondulations dans l’eau, mais aussi des tremblements de terre."
seismitoad,"['swift-swim', 'poison-touch', 'water-absorb']","['water', 'ground']",['water1'],"['mega-punch', 'ice-punch', 'mega-kick', 'growl', 'supersonic', 'acid', 'hydro-pump', 'surf', 'bubble-beam', 'hyper-beam', 'low-kick', 'strength', 'earthquake', 'dig', 'toxic', 'screech', 'double-team', 'bubble', 'rest', 'rock-slide', 'substitute', 'snore', 'flail', 'protect', 'sludge-bomb', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rain-dance', 'rock-smash', 'uproar', 'hail', 'facade', 'focus-punch', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'dive', 'hyper-voice', 'weather-ball', 'rock-tomb', 'muddy-water', 'bounce', 'mud-shot', 'water-pulse', 'payback', 'fling', 'gastro-acid', 'aqua-ring', 'poison-jab', 'drain-punch', 'focus-blast', 'earth-power', 'giga-impact', 'power-whip', 'stealth-rock', 'grass-knot', 'venoshock', 'sludge-wave', 'after-you', 'round', 'echoed-voice', 'scald', 'bulldoze', 'confide', 'venom-drench', 'infestation', 'power-up-punch', 'stomping-tantrum', 'liquidation']","Il fait gicler un liquide paralysant des pustules sur sa tête, et attaque ses ennemis à coups de vibrations."
throh,"['guts', 'inner-focus', 'mold-breaker']",['fighting'],['humanshape'],"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'bind', 'mega-kick', 'body-slam', 'leer', 'low-kick', 'seismic-toss', 'strength', 'earthquake', 'dig', 'toxic', 'double-team', 'focus-energy', 'bide', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pain-split', 'vital-throw', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'rock-tomb', 'block', 'bulk-up', 'payback', 'fling', 'poison-jab', 'focus-blast', 'giga-impact', 'zen-headbutt', 'stone-edge', 'grass-knot', 'wide-guard', 'storm-throw', 'low-sweep', 'round', 'circle-throw', 'retaliate', 'bulldoze', 'work-up', 'mat-block', 'confide', 'power-up-punch', 'laser-focus', 'stomping-tantrum', 'coaching']","Quand il noue sa ceinture, il devient plus puissant. Les Judokrak sauvages tressent leur ceinture avec des lianes."
sawk,"['sturdy', 'inner-focus', 'mold-breaker']",['fighting'],['humanshape'],"['karate-chop', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'double-kick', 'mega-kick', 'leer', 'low-kick', 'counter', 'strength', 'earthquake', 'dig', 'toxic', 'double-team', 'focus-energy', 'bide', 'rest', 'rock-slide', 'substitute', 'snore', 'reversal', 'protect', 'scary-face', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pain-split', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'rock-tomb', 'block', 'bulk-up', 'close-combat', 'payback', 'fling', 'poison-jab', 'focus-blast', 'giga-impact', 'zen-headbutt', 'stone-edge', 'grass-knot', 'low-sweep', 'round', 'quick-guard', 'retaliate', 'bulldoze', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'laser-focus', 'throat-chop', 'coaching']","Es lebt zurückgezogen in den Bergen und trainiert Tag und Nacht, um seinen Karateschlag zu perfektionieren."
sewaddle,"['swarm', 'chlorophyll', 'overcoat']","['bug', 'grass']",['bug'],"['razor-wind', 'cut', 'tackle', 'razor-leaf', 'solar-beam', 'string-shot', 'toxic', 'agility', 'screech', 'double-team', 'light-screen', 'dream-eater', 'flash', 'rest', 'substitute', 'mind-reader', 'snore', 'flail', 'protect', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'synthesis', 'hidden-power', 'sunny-day', 'facade', 'nature-power', 'magic-coat', 'secret-power', 'camouflage', 'silver-wind', 'signal-beam', 'iron-defense', 'calm-mind', 'payback', 'me-first', 'worry-seed', 'seed-bomb', 'air-slash', 'bug-buzz', 'energy-ball', 'grass-knot', 'bug-bite', 'round', 'struggle-bug', 'electroweb', 'sticky-web', 'grassy-terrain', 'confide']","Quand il éclot, Manternel lui coud son vêtement. Il dort en cachant son visage sous sa capuche."
swadloon,"['leaf-guard', 'chlorophyll', 'overcoat']","['bug', 'grass']",['bug'],"['cut', 'tackle', 'razor-leaf', 'solar-beam', 'string-shot', 'toxic', 'double-team', 'light-screen', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'protect', 'giga-drain', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'synthesis', 'hidden-power', 'sunny-day', 'facade', 'nature-power', 'magic-coat', 'secret-power', 'grass-whistle', 'signal-beam', 'iron-defense', 'calm-mind', 'payback', 'worry-seed', 'seed-bomb', 'energy-ball', 'grass-knot', 'bug-bite', 'round', 'struggle-bug', 'electroweb', 'confide']","Dans les forêts où il vit, la végétation pousse bien car il transforme les feuilles mortes en engrais."
leavanny,"['swarm', 'chlorophyll', 'overcoat']","['bug', 'grass']",['bug'],"['swords-dance', 'cut', 'tackle', 'hyper-beam', 'razor-leaf', 'solar-beam', 'string-shot', 'toxic', 'double-team', 'light-screen', 'reflect', 'dream-eater', 'flash', 'rest', 'slash', 'substitute', 'snore', 'protect', 'giga-drain', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'synthesis', 'hidden-power', 'sunny-day', 'facade', 'nature-power', 'helping-hand', 'magic-coat', 'knock-off', 'secret-power', 'signal-beam', 'aerial-ace', 'iron-defense', 'calm-mind', 'leaf-blade', 'payback', 'worry-seed', 'poison-jab', 'seed-bomb', 'x-scissor', 'energy-ball', 'giga-impact', 'shadow-claw', 'leaf-storm', 'grass-knot', 'bug-bite', 'hone-claws', 'entrainment', 'round', 'retaliate', 'struggle-bug', 'electroweb', 'fell-stinger', 'confide', 'laser-focus', 'throat-chop']","Quand il trouve de petits Pokémon, il leur coud des vêtements de feuilles en utilisant ses coupoirs et son fil adhésif."
venipede,"['poison-point', 'swarm', 'speed-boost']","['bug', 'poison']",['bug'],"['take-down', 'double-edge', 'poison-sting', 'twineedle', 'pin-missile', 'bite', 'solar-beam', 'toxic', 'agility', 'screech', 'double-team', 'defense-curl', 'rest', 'substitute', 'snore', 'protect', 'sludge-bomb', 'spikes', 'endure', 'rollout', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'endeavor', 'secret-power', 'signal-beam', 'iron-defense', 'poison-tail', 'gyro-ball', 'payback', 'toxic-spikes', 'poison-jab', 'rock-climb', 'bug-bite', 'venoshock', 'round', 'hex', 'struggle-bug', 'steamroller', 'confide', 'venom-drench', 'infestation', 'steel-roller', 'skitter-smack']","Sa morsure est très venimeuse. Elle paralyse même les grands Pokémon Oiseaux, ses prédateurs."
whirlipede,"['poison-point', 'swarm', 'speed-boost']","['bug', 'poison']",['bug'],"['take-down', 'double-edge', 'poison-sting', 'pin-missile', 'solar-beam', 'toxic', 'agility', 'screech', 'double-team', 'defense-curl', 'rest', 'substitute', 'snore', 'protect', 'sludge-bomb', 'spikes', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'endeavor', 'secret-power', 'signal-beam', 'iron-defense', 'poison-tail', 'gyro-ball', 'payback', 'toxic-spikes', 'poison-jab', 'rock-climb', 'bug-bite', 'venoshock', 'round', 'hex', 'struggle-bug', 'steamroller', 'confide', 'venom-drench', 'infestation', 'steel-roller', 'skitter-smack']","Protégé par sa solide carapace, il fonce sur ses ennemis en roulant comme un pneu."
scolipede,"['poison-point', 'swarm', 'speed-boost']","['bug', 'poison']",['bug'],"['swords-dance', 'cut', 'take-down', 'double-edge', 'poison-sting', 'pin-missile', 'hyper-beam', 'strength', 'solar-beam', 'earthquake', 'dig', 'toxic', 'agility', 'screech', 'double-team', 'defense-curl', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'sludge-bomb', 'spikes', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'megahorn', 'baton-pass', 'pursuit', 'iron-tail', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'superpower', 'endeavor', 'snatch', 'secret-power', 'rock-tomb', 'signal-beam', 'iron-defense', 'poison-tail', 'gyro-ball', 'payback', 'assurance', 'toxic-spikes', 'poison-jab', 'aqua-tail', 'x-scissor', 'giga-impact', 'rock-climb', 'cross-poison', 'bug-bite', 'venoshock', 'round', 'hex', 'struggle-bug', 'bulldoze', 'steamroller', 'confide', 'venom-drench', 'infestation', 'throat-chop', 'smart-strike', 'stomping-tantrum', 'steel-roller', 'skitter-smack']",Il accule l’ennemi par ses mouvements rapides et l’attaque avec ses cornes. Il ne s’arrête qu’au coup de grâce.
cottonee,"['prankster', 'infiltrator', 'chlorophyll']","['grass', 'fairy']","['plant', 'fairy']","['absorb', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'toxic', 'double-team', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'cotton-spore', 'protect', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'encore', 'hidden-power', 'sunny-day', 'beat-up', 'memento', 'facade', 'nature-power', 'taunt', 'helping-hand', 'knock-off', 'endeavor', 'secret-power', 'fake-tears', 'grass-whistle', 'tickle', 'covet', 'natural-gift', 'tailwind', 'worry-seed', 'seed-bomb', 'energy-ball', 'switcheroo', 'defog', 'captivate', 'grass-knot', 'round', 'cotton-guard', 'grassy-terrain', 'misty-terrain', 'fairy-wind', 'confide', 'dazzling-gleam', 'grassy-glide']","Si on l’attaque, il projette un nuage de coton. L’ennemi le confond avec lui, ce qui permet à Doudouvet de s’enfuir."
whimsicott,"['prankster', 'infiltrator', 'chlorophyll']","['grass', 'fairy']","['fairy', 'plant']","['gust', 'hyper-beam', 'absorb', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'toxic', 'psychic', 'double-team', 'light-screen', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'thief', 'snore', 'cotton-spore', 'protect', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'encore', 'hidden-power', 'sunny-day', 'shadow-ball', 'beat-up', 'memento', 'facade', 'nature-power', 'taunt', 'helping-hand', 'knock-off', 'endeavor', 'secret-power', 'fake-tears', 'covet', 'tailwind', 'u-turn', 'fling', 'worry-seed', 'seed-bomb', 'energy-ball', 'giga-impact', 'defog', 'trick-room', 'grass-knot', 'round', 'cotton-guard', 'hurricane', 'grassy-terrain', 'misty-terrain', 'play-rough', 'fairy-wind', 'moonblast', 'confide', 'dazzling-gleam', 'grassy-glide']",沒有特定的棲息地。 會乘著旋風移動， 到處現身去惡作劇。
petilil,"['chlorophyll', 'own-tempo', 'leaf-guard']",['grass'],['plant'],"['cut', 'absorb', 'mega-drain', 'leech-seed', 'growth', 'solar-beam', 'stun-spore', 'sleep-powder', 'toxic', 'double-team', 'bide', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'protect', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'encore', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'facade', 'nature-power', 'helping-hand', 'ingrain', 'secret-power', 'aromatherapy', 'grass-whistle', 'bullet-seed', 'covet', 'magical-leaf', 'healing-wish', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'leaf-storm', 'grass-knot', 'entrainment', 'after-you', 'round', 'confide', 'laser-focus', 'pollen-puff', 'grassy-glide', 'tera-blast', 'trailblaze']","Les feuilles sur sa tête sont très amères, mais elles remettent d’aplomb les corps les plus éreintés."
lilligant,"['chlorophyll', 'own-tempo', 'leaf-guard']",['grass'],['plant'],"['swords-dance', 'cut', 'hyper-beam', 'absorb', 'mega-drain', 'leech-seed', 'growth', 'solar-beam', 'stun-spore', 'sleep-powder', 'petal-dance', 'toxic', 'double-team', 'light-screen', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'protect', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'encore', 'synthesis', 'hidden-power', 'sunny-day', 'facade', 'nature-power', 'helping-hand', 'role-play', 'secret-power', 'teeter-dance', 'aromatherapy', 'bullet-seed', 'covet', 'magical-leaf', 'leaf-blade', 'worry-seed', 'seed-bomb', 'energy-ball', 'giga-impact', 'leaf-storm', 'grass-knot', 'quiver-dance', 'entrainment', 'after-you', 'round', 'petal-blizzard', 'grassy-terrain', 'confide', 'solar-blade', 'laser-focus', 'pollen-puff', 'grassy-glide', 'tera-blast', 'trailblaze']",Même les Dresseurs confirmés ont du mal à faire éclore sa belle fleur. Un Pokémon apprécié des célébrités.
basculin-red-striped,"['reckless', 'adaptability', 'mold-breaker']",['water'],['water2'],"['cut', 'headbutt', 'tackle', 'take-down', 'thrash', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'toxic', 'agility', 'rage', 'double-team', 'waterfall', 'swift', 'rest', 'substitute', 'snore', 'flail', 'reversal', 'protect', 'scary-face', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rain-dance', 'crunch', 'whirlpool', 'uproar', 'hail', 'facade', 'taunt', 'superpower', 'revenge', 'endeavor', 'secret-power', 'dive', 'muddy-water', 'bounce', 'mud-shot', 'water-pulse', 'brine', 'assurance', 'aqua-tail', 'giga-impact', 'ice-fang', 'zen-headbutt', 'aqua-jet', 'head-smash', 'soak', 'round', 'chip-away', 'scald', 'final-gambit', 'confide', 'psychic-fangs', 'liquidation', 'scale-shot', 'flip-turn', 'wave-crash', 'tera-blast', 'snowscape', 'chilling-water']",Les bleus et les rouges se détestent cordialement et se battent dès qu’ils s’aperçoivent. Un Pokémon très violent.
sandile,"['intimidate', 'moxie', 'anger-point']","['ground', 'dark']",['ground'],"['cut', 'sand-attack', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'bite', 'roar', 'counter', 'earthquake', 'dig', 'toxic', 'rage', 'double-team', 'focus-energy', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'spite', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'mean-look', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'crunch', 'beat-up', 'uproar', 'torment', 'facade', 'taunt', 'helping-hand', 'brick-break', 'snatch', 'secret-power', 'rock-tomb', 'sand-tomb', 'mud-shot', 'payback', 'assurance', 'embargo', 'fling', 'me-first', 'dark-pulse', 'aqua-tail', 'earth-power', 'shadow-claw', 'thunder-fang', 'fire-fang', 'rock-climb', 'stone-edge', 'stealth-rock', 'grass-knot', 'hone-claws', 'foul-play', 'round', 'incinerate', 'retaliate', 'bulldoze', 'snarl', 'confide', 'power-trip', 'stomping-tantrum', 'skitter-smack', 'lash-out', 'scorching-sands', 'tera-blast']",Il vit dans le sable des déserts. Le sable chauffé par le soleil empêche son corps de refroidir.
krokorok,"['intimidate', 'moxie', 'anger-point']","['ground', 'dark']",['ground'],"['mega-punch', 'cut', 'mega-kick', 'sand-attack', 'body-slam', 'take-down', 'thrash', 'leer', 'bite', 'roar', 'low-kick', 'strength', 'earthquake', 'dig', 'toxic', 'rage', 'double-team', 'focus-energy', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'spite', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'crunch', 'rock-smash', 'beat-up', 'uproar', 'torment', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'revenge', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'rock-tomb', 'sand-tomb', 'aerial-ace', 'dragon-claw', 'mud-shot', 'payback', 'assurance', 'embargo', 'fling', 'dark-pulse', 'aqua-tail', 'earth-power', 'shadow-claw', 'thunder-fang', 'fire-fang', 'stone-edge', 'stealth-rock', 'grass-knot', 'hone-claws', 'low-sweep', 'foul-play', 'round', 'incinerate', 'retaliate', 'bulldoze', 'dragon-tail', 'snarl', 'confide', 'power-up-punch', 'power-trip', 'brutal-swing', 'stomping-tantrum', 'skitter-smack', 'lash-out', 'scorching-sands', 'tera-blast']",Ils vivent en petits groupes. La membrane qui couvre leurs yeux les protège du soleil.
